Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
54,Super Mario 3D Land,3DS,2011.00,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,2.77377892
55,Gran Turismo 5,PS3,2010.00,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,2.768637532
56,Call of Duty: Modern Warfare 2,PS3,2009.00,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2.748071979
57,Grand Theft Auto IV,PS3,2008.00,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2.71722365
58,Super Mario All-Stars,SNES,1993.00,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,2.712082262
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.00,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,2.696658098
60,Super Mario 64,DS,2004.00,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2.678663239
61,Just Dance 3,Wii,2011.00,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,2.637532134
62,Call of Duty: Ghosts,X360,2013.00,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2.624678663
63,Halo: Reach,X360,2010.00,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2.539845758
64,Mario Kart 64,N64,1996.00,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,2.537275064
65,New Super Mario Bros. 2,3DS,2012.00,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2.524421594
66,Halo 4,X360,2012.00,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2.508997429
67,Final Fantasy VII,PS,1997.00,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,2.498714653
68,Call of Duty: Ghosts,PS3,2013.00,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2.46529563
69,Just Dance 2,Wii,2010.00,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2.447300771
70,Gran Turismo 2,PS,1999.00,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,2.439588689
71,Call of Duty 4: Modern Warfare,X360,2007.00,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2.395886889
72,Donkey Kong Country,SNES,1994.00,Platform,Nintendo,4.36,1.71,3,0.23,9.3,2.390745501
73,Minecraft,X360,2013.00,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2.36503856
74,Animal Crossing: New Leaf,3DS,2012.00,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2.336760925
75,Mario Party DS,DS,2007.00,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2.318766067
76,The Elder Scrolls V: Skyrim,X360,2011.00,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2.272493573
77,Super Mario Kart,SNES,1992.00,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,2.251928021
78,FIFA 16,PS4,2015.00,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,2.18251928
79,Wii Party,Wii,2010.00,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2.18251928
80,Halo 2,XB,2004.00,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2.18251928
81,Mario Party 8,Wii,2007.00,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2.164524422
82,Pokemon Black 2/Pokemon White 2,DS,2012.00,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2.141388175
83,FIFA Soccer 13,PS3,2012.00,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2.118251928
84,The Sims 3,PC,2009.00,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11,2.084832905
85,GoldenEye 007,N64,1997.00,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,2.079691517
86,Mario & Sonic at the Olympic Games,Wii,2007.00,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2.071979434
87,Final Fantasy X,PS2,2001.00,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2.06940874
88,Final Fantasy VIII,PS,1999.00,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,2.020565553
89,Pokémon Platinum Version,DS,2008.00,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,2.015424165
90,Pac-Man,2600,1982.00,Puzzle,Atari,7.28,0.45,0,0.08,7.81,2.007712082
91,Grand Theft Auto: Liberty City Stories,PSP,2005.00,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,1.984575835
92,Super Mario Galaxy 2,Wii,2010.00,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,1.976863753
93,Star Wars Battlefront (2015),PS4,2015.00,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,1.971722365
94,Call of Duty: Advanced Warfare,PS4,2014.00,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,1.953727506
95,The Legend of Zelda: Ocarina of Time,N64,1998.00,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1.953727506
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.00,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1.948586118
97,Super Mario Bros. 2,NES,1988.00,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1.917737789
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.00,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,1.915167095
